Recording,Site,Day,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),File Offset (s),Begin File,Begin Path,Begin Date Time,species,background,exclusion code
6C,6,C,778,Spectrogram 1,1,3141.190095,3142.596344,1094.9,2737.2,3141.19,S-06-319_20190131_100007.wav,/Volumes/CBRP-ITA-2/Site 06/S-06-319_000/S-06-319_2019-01-31/S-06-319_20190131_100007.wav,3141.19,BTFG,1,9
1A,1,A,1039,Spectrogram 1,1,2319.025,2320.191235,3449.6,4689.9,2319.025,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2319.025,BTHA,,0
1A,1,A,1043,Spectrogram 1,1,2339.378,2340.851139,3464.6,4803.1,2339.378,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2339.378,BTHA,,0
1A,1,A,1046,Spectrogram 1,1,2368.309,2369.940944,3400,4920,2368.309,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2368.309,BTHA,,0
1A,1,A,1051,Spectrogram 1,1,2380.184,2381.850666,3333.3,5193.8,2380.184,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2380.184,BTHA,,0
1A,1,A,1052,Spectrogram 1,1,2390.226,2391.747209,3165.1,5038.8,2390.226,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2390.226,BTHA,,0
1A,1,A,1055,Spectrogram 1,1,2403.292,2404.542,3503.9,4960.6,2403.292,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2403.292,BTHA,,0
1A,1,A,1062,Spectrogram 1,1,2517.48,2519.650138,846.5,1437,2517.48,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2517.48,BTHA,,0
1A,1,A,1194,Spectrogram 1,1,2350.764,2352.673722,3346.5,4881.9,2350.764,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2350.764,BTHA,1,0
1A,1,A,1202,Spectrogram 1,1,2413.059,2414.816779,3512.4,4881.9,2413.059,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2413.059,BTHA,,0
1A,1,A,1204,Spectrogram 1,1,2433.775,2435.320138,3464.6,4763.8,2433.775,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2433.775,BTHA,,0
1A,1,A,1209,Spectrogram 1,1,2456.806,2459.097666,3307.1,4960.6,2456.806,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2456.806,BTHA,,0
1A,1,A,1212,Spectrogram 1,1,2469.931,2472.066424,3464.6,5525.7,2469.931,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2469.931,BTHA,,0
1A,1,A,1214,Spectrogram 1,1,2483.907,2485.486861,3740.2,4881.9,2483.907,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2483.907,BTHA,,0
1A,1,A,1218,Spectrogram 1,1,2497.136,2498.854749,3503.9,4921.3,2497.136,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2497.136,BTHA,,0
1A,1,A,1222,Spectrogram 1,1,2512.794,2514.616916,3582.7,5078.7,2512.794,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2512.794,BTHA,,0
1A,1,A,1237,Spectrogram 1,1,2529.983,2531.771194,3700.8,5078.7,2529.983,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2529.983,BTHA,1,0
1A,1,A,1241,Spectrogram 1,1,2560.294,2565.398165,1692.9,4370.1,2560.294,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2560.294,BTHA,1,0
1A,1,A,1244,Spectrogram 1,1,2574.86,2576.144722,3543.3,5393.7,2574.86,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2574.86,BTHA,1,0
1A,1,A,1246,Spectrogram 1,1,2583.781,2585.692781,3582.7,4763.8,2583.781,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2583.781,BTHA,1,0
1A,1,A,1248,Spectrogram 1,1,2596.368,2598.72911,3622,4803.1,2596.368,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2596.368,BTHA,1,0
1A,1,A,1253,Spectrogram 1,1,2618.903,2620.517583,3464.6,5000,2618.903,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2618.903,BTHA,,0
1A,1,A,1254,Spectrogram 1,1,2608.998,2610.612583,3484.3,5019.7,2608.998,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2608.998,BTHA,,0
1A,1,A,1258,Spectrogram 1,1,2635.804,2637.418583,3563,5098.4,2635.804,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2635.804,BTHA,,0
1A,1,A,1259,Spectrogram 1,1,2647.627,2649.241583,3484.3,5019.7,2647.627,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2647.627,BTHA,,0
1A,1,A,1270,Spectrogram 1,1,2730.133,2734.908424,3630.9,4747,2730.133,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2730.133,BTHA,,0
1A,1,A,1274,Spectrogram 1,1,2745.099,2746.828646,3381,5344.9,2745.099,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2745.099,BTHA,,0
1A,1,A,1298,Spectrogram 1,1,2796.864,2798.533557,3345.9,4980.3,2796.864,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2796.864,BTHA,,0
1A,1,A,1336,Spectrogram 1,1,2753.638,2755.459801,3400.6,5289.8,2753.638,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2753.638,BTHA,,0
1A,1,A,1338,Spectrogram 1,1,2716.154,2717.959555,3464.6,4685,2716.154,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2716.154,BTHA,,0
1A,1,A,1339,Spectrogram 1,1,2722.977,2724.574222,3622,4724.4,2722.977,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2722.977,BTHA,,0
1A,1,A,1419,Spectrogram 1,1,2444.692,2446.775333,3557.2,4751.2,2444.692,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2444.692,BTHA,,0
1A,1,A,1425,Spectrogram 1,1,2550.656,2553.676832,3233.8,4651.7,2550.656,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2550.656,BTHA,,0
1A,1,A,1467,Spectrogram 1,1,2738.056,2740.191922,3783.8,4909.9,2738.056,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2738.056,BTHA,,0
1A,1,A,1473,Spectrogram 1,1,2868.442,2870.998633,3209.7,4909.9,2868.442,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2868.442,BTHA,1,0
1A,1,A,1477,Spectrogram 1,1,2881.517,2883.814734,2722.3,5425,2881.517,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2881.517,BTHA,1,0
1A,1,A,1542,Spectrogram 1,1,2539.927,2541.515541,3400.6,5235.8,2539.927,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2539.927,BTHA,,0
1A,1,A,1551,Spectrogram 1,1,2671.069,2672.735666,2914.8,5127.9,2671.069,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2671.069,BTHA,,0
1A,1,A,1552,Spectrogram 1,1,2684.324,2686.120874,3292.6,5235.8,2684.324,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2684.324,BTHA,,0
1A,1,A,1555,Spectrogram 1,1,2700.989,2702.968166,3076.7,5613.7,2700.989,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2700.989,BTHA,,0
1A,1,A,1559,Spectrogram 1,1,2761.245,2763.432499,3022.7,5505.7,2761.245,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2761.245,BTHA,,0
1A,1,A,1561,Spectrogram 1,1,2768.39,2770.186874,3562.5,5667.6,2768.39,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2768.39,BTHA,,0
1A,1,A,1575,Spectrogram 1,1,1342.819,1347.740873,3306.9,4819.6,1342.819,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1342.819,BTHA,1,0
1A,1,A,1578,Spectrogram 1,1,2786.772,2789.167833,3323,5448.2,2786.772,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2786.772,BTHA,1,0
1A,1,A,1579,Spectrogram 1,1,2778.413,2780.418208,3400.3,5332.3,2778.413,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2778.413,BTHA,,0
1A,1,A,1580,Spectrogram 1,1,2849.99,2851.786874,3287,5180.3,2849.99,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2849.99,BTHA,1,0
1A,1,A,1592,Spectrogram 1,1,3063.399,3065.352124,3493.4,5177,3063.399,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3063.399,BTHA,,0
1A,1,A,1597,Spectrogram 1,1,2989.913,2991.683833,3482.8,5136.2,2989.913,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2989.913,BTHA,1,0
1A,1,A,1598,Spectrogram 1,1,2980.356,2982.413291,3553.1,5347.3,2980.356,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2980.356,BTHA,,0
1A,1,A,1618,Spectrogram 1,1,1738.464,1740.502834,2995.4,5106.9,1738.464,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1738.464,BTHA,1,0
1A,1,A,1622,Spectrogram 1,1,1765.022,1766.86666,3584.6,5401.5,1765.022,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1765.022,BTHA,1,0
1A,1,A,1759,Spectrogram 1,1,3105.833,3107.942374,3454.8,5188.7,3105.833,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3105.833,BTHA,1,0
1A,1,A,1762,Spectrogram 1,1,3114.972,3116.820958,4382.3,5471,3114.972,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3114.972,BTHA,1,0
1A,1,A,1768,Spectrogram 1,1,3165.44,3167.757708,3357.3,5333.1,3165.44,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3165.44,BTHA,,0
1A,1,A,1784,Spectrogram 1,1,3242.072,3243.868874,3387.1,4836.1,3242.072,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3242.072,BTHA,1,0
1B,1,B,726,Spectrogram 1,1,1655.186927,1656.870954,3427.4,4717.7,1655.187,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1655.187,BTHA,,0
1B,1,B,738,Spectrogram 1,1,1667.598054,1669.334164,3333.3,4881,1667.598,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1667.598,BTHA,1,0
1B,1,B,733,Spectrogram 1,1,1397.521657,1399.674434,3437.5,4843.7,1397.522,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1397.522,BTHA,,0
1B,1,B,734,Spectrogram 1,1,1389.466104,1392.052909,3398.4,4765.6,1389.466,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1389.466,BTHA,,0
1B,1,B,890,Spectrogram 1,1,2209.909808,2211.66328,3254,4801.6,2209.91,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2209.91,BTHA,,0
1B,1,B,905,Spectrogram 1,1,2231.767434,2233.243128,3571.4,4881,2231.767,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2231.767,BTHA,,0
1B,1,B,1117,Spectrogram 1,1,2411.143846,2412.61954,3254,4960.3,2411.144,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2411.144,BTHA,1,0
1B,1,B,1122,Spectrogram 1,1,2454.093157,2455.70774,3571.4,4960.3,2454.093,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2454.093,BTHA,1,0
1B,1,B,1136,Spectrogram 1,1,2547.216062,2548.622311,3412.7,4801.6,2547.216,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2547.216,BTHA,,0
1B,1,B,1147,Spectrogram 1,1,2583.394542,2584.766069,3650.8,4801.6,2583.395,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2583.395,BTHA,,0
1B,1,B,1384,Spectrogram 1,1,2180.410713,2182.146823,3034.5,5336.1,2180.411,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2180.411,BTHA,1,0
1B,1,B,1395,Spectrogram 1,1,2201.776135,2203.729259,3206.1,4961.8,2201.776,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2201.776,BTHA,,0
1B,1,B,1396,Spectrogram 1,1,2222.10165,2224.132899,3244.3,4885.5,2222.102,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2222.102,BTHA,,0
1B,1,B,1398,Spectrogram 1,1,2262.612298,2264.409173,3321.4,4571.4,2262.612,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2262.612,BTHA,,0
1B,1,B,1399,Spectrogram 1,1,2270.581046,2272.37792,3285.7,4678.6,2270.581,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2270.581,BTHA,1,0
1B,1,B,1410,Spectrogram 1,1,2251.628546,2254.102503,3422.8,4899.3,2251.629,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2251.629,BTHA,1,0
1B,1,B,1417,Spectrogram 1,1,2879.912924,2881.657715,3771.9,4736.8,2879.913,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2879.913,BTHA,1,0
1B,1,B,1420,Spectrogram 1,1,2556.433767,2558.777517,3421.1,4956.1,2556.434,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2556.434,BTHA,1,0
1B,1,B,1433,Spectrogram 1,1,3220.991588,3223.517629,2938.6,4868.4,3220.992,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,3220.992,BTHA,1,0
1B,1,B,1443,Spectrogram 1,1,1227.698704,1230.016411,3115.9,4891.3,1227.699,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1227.699,BTHA,1,0
1B,1,B,1445,Spectrogram 1,1,1842.671462,1845.900627,3464.1,4640.5,1842.671,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1842.671,BTHA,1,0
1B,1,B,1511,Spectrogram 1,1,836.4363533,838.1551027,2777.8,4404.8,836.436,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,836.436,BTHA,1,0
1B,1,B,1521,Spectrogram 1,1,3156.568651,3158.964484,3333.3,4801.6,3156.569,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,3156.569,BTHA,1,0
1B,1,B,1524,Spectrogram 1,1,3190.108243,3192.035326,3611.1,4920.6,3190.108,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,3190.108,BTHA,1,0
1B,1,B,1529,Spectrogram 1,1,1864.693463,1866.802837,3293.7,4841.3,1864.693,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1864.693,BTHA,1,0
2B,2,B,1208,Spectrogram 1,1,2263.644795,2264.777594,1396.4,4212.6,2263.645,S-02-308_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 02/S-02-308_000/S-02-308_2019-01-20/S-02-308_20190120_100007.wav,2263.645,BTMA,,0
5A,5,A,594,Spectrogram 1,1,1859.495468,1860.641301,913.7,2341.3,1859.495,S-05-307_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 05/S-05-307_000/S-05-307_2019-01-16/S-05-307_20190116_100007.wav,1859.495,BTMA,,0
5B,5,B,931,Spectrogram 1,1,3190.971818,3192.534318,396.8,4285.7,3190.972,S-05-307_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 05/S-05-307_000/S-05-307_2019-01-20/S-05-307_20190120_100007.wav,3190.972,BTMA,1,0
5B,5,B,944,Spectrogram 1,1,3275.29058,3275.898219,2103.2,3809.5,3275.291,S-05-307_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 05/S-05-307_000/S-05-307_2019-01-20/S-05-307_20190120_100007.wav,3275.291,BTMA,,0
6B,6,B,748,Spectrogram 1,1,1388.062699,1388.618254,1666.7,4563.5,1388.063,S-06-319_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 06/S-06-319_000/S-06-319_2019-01-20/S-06-319_20190120_100007.wav,1388.063,BTMA,1,0
1B,1,B,705,Spectrogram 1,1,1573.556552,1574.407246,2063.5,4206.3,1573.557,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1573.557,BTSA,,0
1B,1,B,158,Spectrogram 1,1,1579.009511,1580.033816,2222.2,4444.4,1579.01,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1579.01,BTSA,,0
1B,1,B,690,Spectrogram 1,1,1549.895429,1551.180151,2182.5,4722.2,1549.895,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1549.895,BTSA,,0
1B,1,B,721,Spectrogram 1,1,1630.412108,1632.044052,1785.7,4881,1630.412,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1630.412,BTSA,,0
1B,1,B,1140,Spectrogram 1,1,2568.11677,2569.366769,1944.4,4246,2568.117,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2568.117,BTSA,,0
1B,1,B,1141,Spectrogram 1,1,2573.429268,2579.540377,1865.1,4325.4,2573.429,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2573.429,BTSA,,0
1B,1,B,1150,Spectrogram 1,1,2588.290374,2629.086908,912.7,4127,2588.29,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2588.29,BTSA,,0
1B,1,B,1167,Spectrogram 1,1,2636.979084,2818.897853,634.9,4920.6,2636.979,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2636.979,BTSA,,0
1B,1,B,1186,Spectrogram 1,1,2824.583615,2826.406531,1507.9,4881,2824.584,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2824.584,BTSA,,0
1B,1,B,1187,Spectrogram 1,1,2830.850974,2832.482918,1547.6,4881,2830.851,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2830.851,BTSA,,0
1B,1,B,1189,Spectrogram 1,1,2842.274581,2845.989857,1706.3,4920.6,2842.275,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2842.275,BTSA,,0
1B,1,B,1191,Spectrogram 1,1,2850.27805,2866.423878,1507.9,4841.3,2850.278,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2850.278,BTSA,,0
1B,1,B,1196,Spectrogram 1,1,2870.807155,2944.389102,1190.5,4920.6,2870.807,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2870.807,BTSA,,0
1B,1,B,1206,Spectrogram 1,1,2965.587012,2969.111316,873,4206.3,2965.587,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2965.587,BTSA,1,0
1B,1,B,1217,Spectrogram 1,1,2983.493955,2992.330757,1230.2,4404.8,2983.494,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,2983.494,BTSA,,0
1B,1,B,1228,Spectrogram 1,1,3035.418307,3037.015529,1865.1,4761.9,3035.418,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,3035.418,BTSA,,0
1B,1,B,1246,Spectrogram 1,1,3099.739138,3101.075943,1388.9,4642.9,3099.739,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,3099.739,BTSA,,0
